google_and_truth_bleu_score,google_and_truth_gleu_score
0.9234732618882052,0.9565217391304348
1.0,1.0
1.0,1.0
1.0,1.0
0.9598253314161869,0.9762845849802372
0.9780175747763182,0.987012987012987
0.9428161760377307,0.9664804469273743
0.9566758893610273,0.9747899159663865
0.9414356817218077,0.9662921348314607
0.9278982724420874,0.958904109589041
1.0,1.0
0.9385522307631307,0.9647058823529412
1.0,1.0
0.954297861697201,0.9734513274336283
0.9193227152249185,0.9259259259259259
0.9440602839389667,0.967741935483871
0.9656187881844999,0.9798657718120806
1.0,1.0
1.0,1.0
0.9690278768043126,0.9818181818181818
1.0,1.0
1.0,1.0
1.0,1.0
0.9636162552773174,0.9787234042553191
0.9690278768043126,0.9818181818181818
1.0,1.0
0.9370011451812967,0.963855421686747
1.0,1.0
1.0,1.0
0.931838481115484,0.961038961038961
0.9506885335787997,0.9714285714285714
0.9370011451812967,0.963855421686747
1.0,1.0
1.0,1.0
1.0,1.0
0.9625248317849852,0.9781021897810219
0.9581282631934457,0.975609756097561
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9733254474339004,0.9842931937172775
1.0,1.0
1.0,1.0
0.9370011451812967,0.963855421686747
0.9566758893610273,0.9747899159663865
1.0,1.0
0.9749308025055269,0.9852216748768473
1.0,1.0
0.933651069586263,0.9620253164556962
1.0,1.0
1.0,1.0
0.8318180062062374,0.8888888888888888
1.0,1.0
1.0,1.0
0.9619541754104973,0.9777777777777777
0.9636162552773174,0.9787234042553191
1.0,1.0
1.0,1.0
1.0,1.0
0.9704907832745403,0.9826589595375722
1.0,1.0
1.0,1.0
0.9651391201669045,0.9795918367346939
0.9385522307631307,0.9647058823529412
0.9669816961515574,0.9806451612903225
0.9452861848260063,0.968421052631579
0.9607590505097869,0.9770992366412213
1.0,1.0
0.9506885335787997,0.9714285714285714
0.9619541754104973,0.9777777777777777
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9157103753711766,0.9523809523809523
0.974153035222828,0.9847715736040609
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9746768017625027,0.9850746268656716
1.0,1.0
1.0,1.0
1.0,1.0
0.9373341827832584,0.96
0.948661035297062,0.9702970297029703
1.0,1.0
1.0,1.0
1.0,1.0
0.9746768017625027,0.9850746268656716
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9414356817218077,0.9662921348314607
0.9636162552773174,0.9787234042553191
1.0,1.0
1.0,1.0
1.0,1.0
0.9739627770185935,0.9781021897810219
0.940028651976138,0.9655172413793104
0.9641384561775734,0.9790209790209791
1.0,1.0
1.0,1.0
1.0,1.0
0.9601328622880726,0.9767441860465116
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9566758893610273,0.9747899159663865
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9184678024441792,0.9538461538461539
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8280264444284787,0.8867924528301887
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9427781070492712,0.967032967032967
1.0,1.0
1.0,1.0
1.0,1.0
0.9385522307631307,0.9647058823529412
0.9673585247402838,0.9787234042553191
0.9353695731020621,0.9629629629629629
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9157103753711766,0.9523809523809523
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9185787352601704,0.952755905511811
1.0,1.0
1.0,1.0
0.9613658593861555,0.9774436090225563
1.0,1.0
0.9157103753711766,0.9523809523809523
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.948817232064567,0.9577464788732394
1.0,1.0
0.9278982724420874,0.958904109589041
1.0,1.0
1.0,1.0
1.0,1.0
0.9581282631934457,0.975609756097561
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9736071380988617,0.9844559585492227
1.0,1.0
0.9400357170187866,0.9508196721311475
1.0,1.0
1.0,1.0
0.9682406246501182,0.9813664596273292
1.0,1.0
1.0,1.0
1.0,1.0
0.9751797570884221,0.9853658536585366
1.0,1.0
1.0,1.0
0.9656187881844999,0.9798657718120806
1.0,1.0
1.0,1.0
0.889804587487893,0.9368421052631579
1.0,1.0
0.9278982724420874,0.958904109589041
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9744175998207444,0.9849246231155779
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9551190479308641,0.9739130434782609
0.9440602839389667,0.967741935483871
