簡體字,正體字,非對稱簡繁字
剌,['剌'],False
附,['附'],False
俟,['俟'],False
雨,['雨'],False
俊,['俊'],False
则,['則'],False
青,['青'],False
俗,['俗'],False
勇,['勇'],False
非,['非'],False
侮,['侮'],False
勉,['勉'],False
俐,['俐'],False
勃,['勃'],False
亟,['亟'],False
俄,['俄'],False
劲,['勁'],False
匍,['匍'],False
哈,['哈'],False
姿,['姿'],False
南,['南'],False
咯,['咯'],False
姣,['姣'],False
却,['卻'],False
咫,['咫'],False
姨,['姨'],False
厚,['厚'],False
咱,"['咱', '偺']",True
娃,['娃'],False
叛,['叛'],False
咻,['咻'],False
姥,['姥'],False
咬,['咬'],False
垂,['垂'],False
侄,['姪'],False
哀,['哀'],False
型,['型'],False
姚,['姚'],False
咨,['咨'],False
垠,['垠'],False
哎,['哎'],False
垣,['垣'],False
威,['威'],False
哉,['哉'],False
垢,['垢'],False
姻,['姻'],False
咸,"['咸', '鹹']",True
城,['城'],False
孩,['孩'],False
咦,['咦'],False
垮,['垮'],False
宣,['宣'],False
咳,['咳'],False
奕,['奕'],False
宦,['宦'],False
哇,['哇'],False
契,['契'],False
室,['室'],False
哂,['哂'],False
奏,['奏'],False
客,['客'],False
咽,"['咽', '嚥']",True
奎,['奎'],False
宥,['宥'],False
咪,['咪'],False
奂,['奐'],False
封,['封'],False
品,['品'],False
姜,"['姜', '薑']",True
屎,['屎'],False
哄,"['哄', '鬨']",True
姘,['姘'],False
屏,['屏'],False
怒,['怒'],False
按,['按'],False
屋,['屋'],False
思,['思'],False
拼,['拼'],False
峙,['峙'],False
怠,['怠'],False
拭,['拭'],False
巷,['巷'],False
急,['急'],False
持,['持'],False
帝,['帝'],False
怎,['怎'],False
拮,['拮'],False
帅,['帥'],False
怨,['怨'],False
拽,['拽'],False
幽,['幽'],False
恍,['恍'],False
指,['指'],False
庠,['庠'],False
恰,['恰'],False
拱,['拱'],False
度,['度'],False
恨,['恨'],False
拷,['拷'],False
建,['建'],False
恢,['恢'],False
拯,['拯'],False
弈,['弈'],False
恒,['恆'],False
括,['括'],False
弭,['弭'],False
恃,['恃'],False
拾,['拾'],False
彦,['彥'],False
恬,['恬'],False
拴,['拴'],False
很,['很'],False
恫,['恫'],False
挑,['挑'],False
待,['待'],False
恪,['恪'],False
政,['政'],False
徊,['徊'],False
故,['故'],False
律,['律'],False
扁,['扁'],False
斫,['斫'],False
徇,['徇'],False
拜,['拜'],False
施,['施'],False
挖,['挖'],False
既,['既'],False
春,['春'],False
柄,['柄'],False
流,['流'],False
昭,['昭'],False
柑,['柑'],False
津,['津'],False
映,['映'],False
洌,['洌'],False
昧,['昧'],False
柚,['柚'],False
洱,['洱'],False
是,['是'],False
查,['查'],False
洞,['洞'],False
星,['星'],False
枸,['枸'],False
洗,['洗'],False
昨,['昨'],False
柏,['柏'],False
活,['活'],False
曷,['曷'],False
柞,['柞'],False
洽,['洽'],False
柿,['柿'],False
柳,['柳'],False
派,['派'],False
染,['染'],False
歪,['歪'],False
汹,['洶'],False
柱,['柱'],False
殃,['殃'],False
洛,['洛'],False
柔,['柔'],False
殆,['殆'],False
炫,['炫'],False
某,['某'],False
段,['段'],False
为,['為'],False
柬,['柬'],False
毗,['毗'],False
炳,['炳'],False
架,['架'],False
氟,['氟'],False
炬,['炬'],False
枯,['枯'],False
泉,['泉'],False
炯,['炯'],False
栅,['柵'],False
洋,['洋'],False
炭,['炭'],False
柩,['柩'],False
洲,['洲'],False
炸,['炸'],False
柯,['柯'],False
洪,['洪'],False
炮,['炮'],False
爰,['爰'],False
疤,['疤'],False
砌,['砌'],False
牲,['牲'],False
疥,['疥'],False
砍,['砍'],False
牯,['牯'],False
癸,['癸'],False
祆,['祆'],False
皆,['皆'],False
祉,['祉'],False
狩,['狩'],False
皇,['皇'],False
祈,['祈'],False
狠,['狠'],False
皈,['皈'],False
祇,['祇'],False
狡,['狡'],False
盈,['盈'],False
禹,['禹'],False
玷,['玷'],False
盆,['盆'],False
科,['科'],False
珊,['珊'],False
秒,['秒'],False
玻,['玻'],False
省,['省'],False
秋,"['秋', '鞦']",True
玲,['玲'],False
盹,['盹'],False
穿,['穿'],False
珍,['珍'],False
相,['相'],False
突,['突'],False
珀,['珀'],False
眉,['眉'],False
竿,['竿'],False
玳,['玳'],False
看,['看'],False
竽,['竽'],False
甚,['甚'],False
盾,['盾'],False
纣,['紂'],False
甭,['甭'],False
盼,['盼'],False
红,['紅'],False
畏,['畏'],False
矜,['矜'],False
纪,['紀'],False
界,['界'],False
砂,['砂'],False
纫,['紉'],False
疫,['疫'],False
研,['研'],False
纥,['紇'],False
约,['約'],False
舢,['舢'],False
苓,['苓'],False
缸,['缸'],False
苎,['苧'],False
苟,['苟'],False
美,['美'],False
范,"['范', '範']",False
虐,['虐'],False
羿,['羿'],False
茅,['茅'],False
虹,['虹'],False
耐,['耐'],False
苣,['苣'],False
衍,['衍'],False
耍,['耍'],False
苛,['苛'],False
衫,['衫'],False
耶,['耶'],False
苦,['苦'],False
要,['要'],False
胖,['胖'],False
茄,['茄'],False
计,['計'],False
胥,['胥'],False
若,['若'],False
订,['訂'],False
胚,['胚'],False
茂,['茂'],False
讣,['訃'],False
胃,['胃'],False
茉,['茉'],False
贞,['貞'],False
胄,['胄'],False
苒,['苒'],False
负,['負'],False
背,['背'],False
苗,['苗'],False
赴,['赴'],False
胡,"['胡', '鬍']",True
英,['英'],False
赳,['赳'],False
胛,['胛'],False
茁,['茁'],False
趴,['趴'],False
胎,['胎'],False
苜,['苜'],False
军,['軍'],False
胞,['胞'],False
苔,['苔'],False
轨,['軌'],False
胤,['胤'],False
苑,['苑'],False
述,['述'],False
致,"['致', '緻']",False
苞,['苞'],False
迦,['迦'],False
迢,['迢'],False
韭,['韭'],False
俩,['倆'],False
迪,['迪'],False
音,['音'],False
值,['值'],False
迥,['迥'],False
页,['頁'],False
借,"['借', '藉']",True
迭,['迭'],False
风,['風'],False
倚,['倚'],False
迫,['迫'],False
飞,['飛'],False
倒,['倒'],False
郊,['郊'],False
食,['食'],False
们,['們'],False
郎,['郎'],False
首,['首'],False
俺,['俺'],False
郁,"['郁', '鬱']",True
香,['香'],False
伥,['倀'],False
酋,['酋'],False
倔,['倔'],False
酊,['酊'],False
乘,['乘'],False
倨,['倨'],False
重,['重'],False
倌,['倌'],False
俱,['俱'],False
闩,['閂'],False
倍,['倍'],False
倡,['倡'],False
限,['限'],False
个,['個'],False
陋,['陋'],False
俯,['俯'],False
候,['候'],False
陌,['陌'],False
倦,['倦'],False
倘,['倘'],False
降,['降'],False
倥,['倥'],False
俳,['俳'],False
面,"['面', '麵']",True
俸,['俸'],False
修,['修'],False
革,['革'],False
倩,['倩'],False
倭,['倭'],False
韦,['韋'],False
倪,['倪'],False
俾,['俾'],False
厝,['厝'],False
唧,['唧'],False
伦,['倫'],False
叟,['叟'],False
圃,['圃'],False
仓,['倉'],False
哨,['哨'],False
埂,['埂'],False
兼,['兼'],False
唐,['唐'],False
埔,['埔'],False
冤,['冤'],False
唁,['唁'],False
埋,['埋'],False
冥,['冥'],False
唷,['唷'],False
埃,['埃'],False
冢,"['冢', '塚']",True
哼,['哼'],False
夏,['夏'],False
冻,['凍'],False
哥,['哥'],False
套,['套'],False
凌,['凌'],False
哲,['哲'],False
奘,['奘'],False
准,"['准', '準']",True
唆,['唆'],False
奚,['奚'],False
凋,['凋'],False
哺,['哺'],False
